seed,controller,target_tau,B,n_eval,n_violations,realized_rate,delta_from_target,within_tolerance
1000,innov_010,0.1,0.5124784643313546,360,30,0.08333333333333333,0.016666666666666677,True
2000,innov_010,0.1,0.5122461260144135,360,39,0.10833333333333334,0.008333333333333331,True
3000,innov_010,0.1,0.5101649486633727,360,38,0.10555555555555556,0.00555555555555555,True
1000,innov_015,0.15,0.4871341029045012,360,57,0.15833333333333333,0.008333333333333331,True
2000,innov_015,0.15,0.4949952106916158,360,53,0.14722222222222223,0.002777777777777768,True
3000,innov_015,0.15,0.4834816509821317,360,52,0.14444444444444443,0.005555555555555564,True
1000,innov_020,0.2,0.4738831202535443,360,72,0.2,0.0,True
2000,innov_020,0.2,0.4755813254607715,360,77,0.21388888888888888,0.013888888888888867,True
3000,innov_020,0.2,0.4704445716293056,360,70,0.19444444444444445,0.005555555555555564,True
