seed0,target_tau,intervention_rate,ttc_lt_3_ratio,collision_rate,max_abs_jerk,n
1000,0.1,0.03222777777777775,0.09791111111111113,0.05277777777777778,212.40453519234939,360
1000,0.15,0.062288888888888845,0.09504999999999997,0.044444444444444446,213.08083997136086,360
1000,0.2,0.07332777777777774,0.09338888888888888,0.041666666666666664,211.96109946730607,360
2000,0.1,0.10798333333333326,0.08476666666666673,0.05555555555555555,231.27412486758536,360
2000,0.15,0.12146666666666665,0.0834333333333333,0.05555555555555555,230.48858947733032,360
2000,0.2,0.1353444444444444,0.08227777777777782,0.05555555555555555,223.02210907602682,360
3000,0.1,0.08450000000000002,0.09291111111111107,0.019444444444444445,189.70999722005573,360
3000,0.15,0.10321666666666661,0.09011666666666665,0.013888888888888888,205.92866755640293,360
3000,0.2,0.11172222222222226,0.08739999999999998,0.011111111111111112,190.71304946134956,360
